Country,Year,Total,Life_expectancy,Population
Austria,1995,male,73.4,3834055
Austria,1995,total,76.6682926829268,7948278
Austria,1996,female,80.2,4118529
Austria,1996,male,73.7,3840488
Austria,1996,total,76.8707317073171,7959017
Austria,1997,female,80.7,4121944
Austria,1997,male,74.1,3846097
Austria,1997,total,77.319512195122,7968041
Austria,1998,female,81,4124768
Austria,1998,male,74.5,3852021
Austria,1998,total,77.6707317073171,7976789
Austria,1999,female,81,4130289
Austria,1999,male,74.9,3862035
Austria,1999,total,77.8756097560976,7992324
Austria,2000,female,81.2,4136954
Austria,2000,male,75.2,3874612
Austria,2000,total,78.1268292682927,8011566
Austria,2001,female,81.7,4148251
Austria,2001,male,75.6,3894042
Austria,2001,total,78.5756097560976,8042293
Austria,2002,female,81.7,4163642
Austria,2002,male,75.8,3918315
Austria,2002,total,78.6780487804878,8081957
Austria,2003,female,81.5,4180456
Austria,2003,male,75.9,3940967
Austria,2003,total,78.6317073170732,8121423
Austria,2004,female,82.1,4203427
Austria,2004,male,76.4,3968539
Austria,2004,total,79.1804878048781,8171966
Austria,2005,female,82.2,4228409
Austria,2005,male,76.6,3999420
Austria,2005,total,79.3317073170732,8227829
Austria,2006,female,82.8,4246626
Austria,2006,male,77.1,4022015
Austria,2006,total,79.8804878048781,8268641
Austria,2007,female,83.1,4259438
Austria,2007,male,77.4,4036049
Austria,2007,total,80.1804878048781,8295487
Austria,2008,female,83.3,4272022
Austria,2008,male,77.7,4049474
Austria,2008,total,80.4317073170732,8321496
Austria,2009,female,83.2,4281935
Austria,2009,male,77.6,4061388
Austria,2009,total,80.3317073170732,8343323
Austria,2010,female,83.5,4291038
Austria,2010,male,77.8,4072366
Austria,2010,total,80.5804878048781,8363404
Austria,2011,female,83.8,4303321
Austria,2011,male,78.3,4088322
Austria,2011,total,80.9829268292683,8391643
Austria,2012,female,83.6,4319277
Austria,2012,male,78.4,4110714
Austria,2012,total,80.9365853658537,8429991
Austria,2013,female,83.8,4340495
Austria,2013,male,78.6,4139328
